PG45780	Fiction	split	Beaumont and Fletcher's Works, Vol. 05 of 10	Beaumont, Francis, 1584-1616; Fletcher, John, 1579-1625; Waller, A. R. (Alfred Rayney), 1867-1922 [Editor]
PG45781	Fiction	split	Beaumont and Fletcher's Works, Vol. 06 of 10	Beaumont, Francis, 1584-1616; Fletcher, John, 1579-1625; Waller, A. R. (Alfred Rayney), 1867-1922 [Editor]
PG47156	Fiction	split	Beaumont and Fletcher's Works, Vol. 07 of 10	Beaumont, Francis, 1584-1616; Fletcher, John, 1579-1625; Waller, A. R. (Alfred Rayney), 1867-1922 [Editor]
PG47240	Fiction	split	Beaumont and Fletcher's Works, Vol. 09 of 10	Beaumont, Francis, 1584-1616; Fletcher, John, 1579-1625; Waller, A. R. (Alfred Rayney), 1867-1922 [Editor]
PG46123	Fiction	split	Belle Powers' Locket	Mathews, Joanna H. (Joanna Hooe), 1849-1901
PG48277	Fiction	split	Ben Stone at Oakdale	Scott, Morgan
PG8810	Historical Fiction	split	Ben-Hur: A tale of the Christ	Wallace, Lew, 1827-1905
PG48147	Fiction	split	Bennie Ben Cree: Being the Story of His Adventure to Southward in the Year '62	Colton, Arthur, 1868-1943 [Adapter]
PG46762	Fiction	split	Bessie and Her Friends	Mathews, Joanna H. (Joanna Hooe), 1849-1901
PG45577	Fiction	split	Betty's Happy Year	Wells, Carolyn, 1862-1942; Birch, Reginald B. (Reginald Bathurst), 1856-1943 [Illustrator]
PG47128	Adventure	split	Billy Topsail, M.D.: A Tale of Adventure With Doctor Luke of the Labrador	Duncan, Norman, 1871-1916
PG46691	Poetry	split	Biography for Beginners Being a Collection of Miscellaneous Examples for the Use of Upper Forms	Bentley, E. C. (Edmund Clerihew), 1875-1956 [Editor]; Chesterton, G. K. (Gilbert Keith), 1874-1936 [Illustrator]
PG47293	Fiction	split	Bird Children: The Little Playmates of the Flower Children	Gordon, Elizabeth, 1866-1922; Ross, M. T. [Illustrator]
PG47426	Fiction	split	Blood Royal: A Novel	Allen, Grant, 1848-1899
PG48124	Mystery	split	Bob Dexter and the Storm Mountain Mystery; or, The Secret of the Log Cabin	Baker, Willard F.
PG47553	Fiction	split	Bobby Blake on a Plantation; Or, Lost in the Great Swamp	Warner, Frank A.; Rogers, Walter S. (Walter Stanton), 1870-1937 [Illustrator]
PG45990	Fiction	split	Bobby Blake on the School Nine; Or, The Champions of the Monatook Lake League	Warner, Frank A.; Owen, Robert Emmett, 1878-1957 [Illustrator]
PG47348	Fiction	split	Boscobel; or, the royal oak: A tale of the year 1651	Ainsworth, William Harrison, 1805-1882
PG46909	Fiction	split	Bouvard and Pécuchet: A Tragi-comic Novel of Bourgeois Life, part 2	Flaubert, Gustave, 1821-1880
PG46477	Fiction	split	Boy Scouts on the Open Plains; Or, The Round-Up Not Ordered	Ralphson, G. Harvey (George Harvey), 1879-1940
PG12704	Fiction	split	Briar Rose	Grimm, Jacob, 1785-1863; Grimm, Wilhelm, 1786-1859
PG47047	Fiction	split	Brothers: The True History of a Fight Against Odds	Vachell, Horace Annesley, 1861-1955
PG47930	Fiction	split	Brought Forward	Cunninghame Graham, R. B. (Robert Bontine), 1852-1936
PG45926	Adventure	split	Bulldog Carney	Fraser, William Alexander, 1859-1933
PG45721	Fiction	split	By order of the company	Johnston, Mary, 1870-1936
PG46600	Fiction	split	By the World Forgot: A Double Romance of the East and West	Brady, Cyrus Townsend, 1861-1920; Underwood, Clarence F., 1871-1929 [Illustrator]
PG47738	Historical Fiction	split	Captain Ravenshaw; Or, The Maid of Cheapside. A Romance of Elizabethan London	Stephens, Robert Neilson, 1867-1906; Pyle, Howard, 1853-1911 [Illustrator]
PG47462	Poetry	split	Castara  The Third Edition of 1640; Edited and Collated with the Earlier Ones of 1634, 1635	Habington, William, 1605-1654; Arber, Edward, 1836-1912 [Editor]
PG9526	Fiction	split	Catherine: a Story	Thackeray, William Makepeace, 1811-1863
PG46592	Fiction	split	Center Rush Rowland	Barbour, Ralph Henry, 1870-1944; Caswell, Edward C., 1879-1963 [Illustrator]
PG46240	Fiction	split	Chains: A Play, in Four Acts	Baker, Elizabeth, 1876-1962
PG46548	Fiction	split	Children of the Dear Cotswolds	Harker, L. Allen (Lizzie Allen), 1863-1933
