PG16512	Religion	split	An apology for atheism	Southwell, Charles, 1814-1860
PG7819	Religion	split	An Enquiry into an Origin of Honour; and the Usefulness of Christianity in War	Mandeville, Bernard, 1670-1733
PG11449	Religion	split	An Enquiry into the Obligations of Christians to Use Means for the Conversion of the Heathens In Which the Religious State of the Different Nations of the World, the Success of Former Undertakings, and the Practicability of Further Undertakings, Are Considered	Carey, William, 1761-1834
PG2428	Poetry	split	An Essay on Man; Moral Essays and Satires	Pope, Alexander, 1688-1744; Morley, Henry, 1822-1894 [Editor]
PG5399	Philosophy	split	An essay on the American contribution and the democratic idea	Churchill, Winston, 1871-1947
PG8940	Philosophy	deferred_repair	An Essay on the Evils of Popular Ignorance	Foster, John, 1770-1843
PG4722	Philosophy	split	An Essay Towards a New Theory of Vision	Berkeley, George, 1685-1753
PG16233	Philosophy	split	An Essay towards Fixing the True Standards of Wit, Humour, Railery, Satire, and Ridicule (1744)	Morris, Corbyn, 1710-1779; Clifford, James L. (James Lowry), 1901-1978 [Commentator]
PG3614	Religion	split	An Exhortation to Peace and Unity	Bunyan, John, 1628-1688
PG4278	Religion	split	An Introduction to Yoga	Besant, Annie, 1847-1933
PG10773	Religion	split	Ancient and Modern Physics	Willson, Thomas Edgar, 1846-1901
PG16627	Religion	deferred_repair	Angelic Wisdom Concerning the Divine Love and the Divine Wisdom	Swedenborg, Emanuel, 1688-1772; Ager, John C. (John Curtis), 1835-1913 [Translator]
PG14120	Religion	split	Answer to Dr. Priestley's Letters to a Philosophical Unbeliever	Hammon, William; Turner, Matthew, -1788?
PG1656	Philosophy	split	Apology	Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]
PG13726	Philosophy	split	Apology, Crito, and Phaedo of Socrates	Plato, 428? BCE-348? BCE; Brooks, Edward, 1831-1912 [Commentator]; Cary, Henry, 1804-1870 [Translator]
PG4037	Philosophy	split	Appreciations, with an Essay on Style	Pater, Walter, 1839-1894
PG12625	Philosophy	split	Architecture and Democracy	Bragdon, Claude Fayette, 1866-1946
PG608	Philosophy	split	Areopagitica A Speech for the Liberty of Unlicensed Printing to the Parliament of England	Milton, John, 1608-1674
PG6763	Poetry	split	Aristotle on the art of poetry	Aristotle, 385 BCE-323 BCE; Murray, Gilbert, 1866-1957 [Contributor]; Bywater, Ingram, 1840-1914 [Translator]
PG4507	Philosophy	split	As a man thinketh	Allen, James, 1864-1912
PG8855	Fiction	split	Astral Worship	Hill, J. H.
PG4613	Philosophy	split	At Large	Benson, Arthur Christopher, 1862-1925
PG749	Fiction	split	Barlaam and Ioasaph	John of Damascus, Saint, 676?-749; Mattingly, Harold, 1884-1964 [Translator]; Woodward, George Ratcliffe, 1848-1934 [Translator]
PG10649	Philosophy	deferred_repair	Beacon Lights of History, Volume 14: The New Era A Supplementary Volume, by Recent Writers, as Set Forth in the Preface and Table of Contents	Lord, John, 1810-1894
PG13677	Religion	split	Beautiful Thoughts	Drummond, Henry, 1851-1897
PG10516	Philosophy	split	Bits about Home Matters	Jackson, Helen Hunt, 1830-1885
PG1885	Religion	split	Bunyan Characters (1st Series)	Whyte, Alexander, 1836-1921
PG12096	Religion	split	Bushido, the Soul of Japan	Nitobe, Inazo, 1862-1933
PG1271	Philosophy	split	Bygone Beliefs: Being a Series of Excursions in the Byways of Thought	Redgrove, H. Stanley (Herbert Stanley), 1887-1943
PG3279	Philosophy	split	Canterbury Pieces	Butler, Samuel, 1835-1902
PG1580	Philosophy	split	Charmides	Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]
PG14596	Religion	deferred_repair	Christian Mysticism	Inge, William Ralph, 1860-1954
PG11198	Religion	split	Christianity and Islam	Becker, Carl Heinrich, 1876-1933; Chaytor, H. J. (Henry John), 1871-1954 [Translator]
PG13349	Religion	deferred_repair	Christianity: Its Evidences, Its Origin, Its Morality, Its History	Besant, Annie, 1847-1933
PG9776	Philosophy	split	Cicero's Brutus or History of Famous Orators; also His Orator, or Accomplished Speaker.	Cicero, Marcus Tullius, 107 BCE-44 BCE; Jones, E. [Translator]
PG13766	Philosophy	split	Cobwebs of Thought	Arachne
PG15905	Religion	deferred_repair	Collected Essays, Volume V Science and Christian Tradition: Essays	Huxley, Thomas Henry, 1825-1895
PG13072	Philosophy	split	Common sense, how to exercise it	Yoritomo-Tashi, -1940; Blanchard, Mme. [Commentator]; Berthelot de la Boileverie, Lily Kendall Beers [Translator]
PG1911	Religion	split	Concerning Christian Liberty; with Letter of Martin Luther to Pope Leo X.	Luther, Martin, 1483-1546
PG5321	Religion	split	Concerning the Spiritual in Art	Kandinsky, Wassily, 1866-1944; Sadleir, Michael, 1888-1957 [Translator]
PG13333	Philosophy	split	Correspondence & Conversations of Alexis de Tocqueville with Nassau William Senior from 1834 to 1859, Volume 2	Tocqueville, Alexis de, 1805-1859; Senior, Nassau William, 1790-1864; Simpson, M. C. M. (Mary Charlotte Mair) [Editor]
