PG8225	Religion	split	A Series of Letters, in Defence of Divine Revelation In Reply to Rev. Abner Kneeland's Serious Inquiry into the Authenticity of the Same. To Which is Added, a Religious Correspondence, Between the Rev. Hosea Ballou, and the Rev. Dr. Joseph Buckminster and Rev. Joseph Walton, Pastors of Congregational Churches in Portsmouth, N. H.	Ballou, Hosea, 1771-1852; Buckminster, Joseph, 1751-1812 [Contributor]; Kneeland, Abner, 1774-1844 [Contributor]; Walton, Joseph, 1742-1822 [Contributor]
PG54984	Religion	uploaded	A serious proposal to the Ladies, for the advancement of their true and greatest interest (In Two Parts)	Astell, Mary, 1666-1731
PG48370	Religion	uploaded	A sermon preach'd before the Right Honourable the Lord-Mayor : the aldermen and citizens of London at the Cathedral-Church of St. Paul on Monday the 30th of Jan. 1709/10 being the anniversary fast for the Martyrdom of King Charles	Snape, Andrew, 1675-1742
PG40428	Religion	uploaded	A Sermon, Delivered Before His Excellency Edward Everett, Governor, His Honor George Hull, Lieutenant Governor, the Honorable Council, and the Legislature of Massachusetts, on the Anniversary Election, January 2, 1839	Hopkins, Mark, 1802-1887
PG61940	Religion	uploaded	A Sermon: Thou shalt not commit Adultery	Phillimore, Joseph, 1751?-1831
PG57778	Philosophy	uploaded	A Sheaf	Galsworthy, John, 1867-1933
PG51793	Religion	uploaded	A Short History of Freethought Ancient and Modern, Volume 1 of 2 Third edition, Revised and Expanded, in two volumes	Robertson, J. M. (John Mackinnon), 1856-1933
PG52160	Religion	deferred_repair	A Short History of Freethought Ancient and Modern, Volume 2 of 2 Third edition, Revised and Expanded, in two volumes	Robertson, J. M. (John Mackinnon), 1856-1933
PG20500	Philosophy	uploaded	A Short History of Greek Philosophy	Marshall, J. (John), 1845-1915
PG15910	Philosophy	uploaded	A Short View of the Frauds and Abuses Committed by Apothecaries As well in Relation to Patients, as Physicians: And Of the only Remedy thereof by Physicians making their own Medicines.	Merret, Christopher, 1614-1695
PG7699	Fiction	split	A Strange Story — Volume 08	Lytton, Edward Bulwer Lytton, Baron, 1803-1873
PG27942	Philosophy	deferred_repair	A System of Logic, Ratiocinative and Inductive	Mill, John Stuart, 1806-1873
PG26495	Philosophy	uploaded	A System of Logic, Ratiocinative and Inductive (Vol. 1 of 2)	Mill, John Stuart, 1806-1873
PG35420	Philosophy	uploaded	A System of Logic: Ratiocinative and Inductive, 7th Edition, Vol. I	Mill, John Stuart, 1806-1873
PG35421	Philosophy	uploaded	A System of Logic: Ratiocinative and Inductive, 7th Edition, Vol. II	Mill, John Stuart, 1806-1873
PG12902	Religion	split	A Textbook of Theosophy	Leadbeater, C. W. (Charles Webster), 1854-1934
PG27869	Religion	deferred_repair	A Theodicy, or, Vindication of the Divine Glory	Bledsoe, Albert Taylor, 1809-1877
PG991	Religion	split	A Theological-Political Treatise [Part III]	Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]
PG992	Religion	split	A Theological-Political Treatise [Part IV]	Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]
PG24648	Religion	uploaded	A Theory of Creation: A Review of 'Vestiges of the Natural History of Creation'	Bowen, Francis, 1811-1890
PG64055	Psychology	uploaded	A Theory of the Mechanism of Survival: The Fourth Dimension and Its Applications	Smith, W. Whately (Walter Whately), 1892-1947
PG64877	Religion	uploaded	A Tract for the Times: The Church and the Census	Skinner, James, 1818-1881
PG4723	Philosophy	uploaded	A Treatise Concerning the Principles of Human Knowledge	Berkeley, George, 1685-1753
